StudentID,Grade,Attempt,Date,Reading,Math,Writing,Total
12060045,11,2,6/1/2013,370,370,480,1220
12060045,12,3,10/5/2013,390,400,440,1230
12060046,11,1,3/1/2013,480,520,600,1600
12060046,11,2,5/4/2013,500,530,570,1600
12060046,11,3,6/1/2013,430,540,550,1520
12060046,12,4,10/5/2013,400,530,570,1500
12060048,11,1,3/1/2013,380,390,440,1210
12060048,11,2,5/4/2013,410,380,420,1210
12060048,11,3,6/1/2013,370,410,540,1320
12060052,11,1,3/1/2013,270,400,430,1100
12060052,11,2,5/4/2013,310,420,510,1240
12060052,11,3,6/1/2013,340,480,510,1330
12060052,12,4,10/5/2013,360,470,410,1240
12060055,11,1,3/1/2013,620,600,610,1830
12060055,11,2,5/4/2013,600,650,640,1890
12060055,11,3,6/1/2013,600,650,640,1890
12060058,11,1,3/1/2013,440,450,540,1430
12060058,11,2,5/4/2013,480,500,560,1540
12060058,11,3,6/1/2013,480,490,530,1500
12060060,11,1,3/1/2013,490,510,540,1540
12060060,11,2,5/4/2013,500,530,560,1590
12060060,11,3,6/1/2013,550,520,590,1660
12060060,12,4,10/5/2013,520,510,560,1590
12060065,11,1,3/1/2013,460,430,530,1420
12060065,11,2,5/4/2013,420,450,480,1350
12060065,11,3,6/1/2013,490,450,510,1450
12060065,12,4,10/5/2013,440,480,490,1410
12060070,11,1,3/1/2013,420,430,460,1310
12060070,11,2,5/4/2013,470,450,530,1450
12060070,11,3,6/1/2013,490,450,590,1530
12060070,12,4,10/5/2013,520,500,560,1580
12060073,11,1,3/1/2011,320,390,280,990
12060073,11,2,6/1/2011,310,390,350,1050
12060073,12,3,10/1/2011,390,390,350,1130
12060074,11,1,3/1/2011,310,370,400,1080
12060074,11,2,6/1/2011,270,370,420,1060
12060074,11,3,3/1/2012,350,400,320,1070
12060074,11,4,5/1/2012,380,350,420,1150
12060074,11,5,6/1/2012,370,390,400,1160
12060074,12,6,10/1/2012,310,390,350,1050
12060077,11,1,3/1/2011,390,340,410,1140
12060077,11,2,6/1/2011,400,430,430,1260
12060077,12,3,10/1/2011,430,440,430,1300
12060080,11,1,3/1/2012,510,610,540,1660
12060080,11,2,5/1/2012,480,600,610,1690
12060080,12,3,10/1/2012,530,590,570,1690
12060085,11,1,3/1/2012,650,560,620,1830
12060085,11,2,5/1/2012,650,580,660,1890
12060085,12,3,10/1/2012,630,580,670,1880
21040007,11,1,3/14/2015,410,350,440,1200
21040023,11,1,3/14/2015,520,520,570,1610
21040024,11,1,3/14/2015,510,540,530,1580
21040037,11,1,3/14/2015,440,510,590,1540
21040046,11,1,3/14/2015,380,470,480,1330
22040006,11,1,3/1/2011,280,490,340,1110
22040006,12,2,10/1/2011,370,490,440,1300
22040008,11,1,3/1/2012,400,480,500,1380
22040008,11,2,5/1/2012,430,460,470,1360
22040008,11,3,6/1/2012,470,470,460,1400
22040009,11,1,3/1/2011,610,560,640,1810
22040009,11,2,6/1/2011,630,650,620,1900
22040009,12,3,10/1/2011,690,670,680,2040
22040015,11,1,3/1/2013,430,480,430,1340
22040015,11,2,6/1/2013,370,470,390,1230
22040015,12,3,10/5/2013,390,500,440,1330
22040018,11,1,3/1/2011,470,600,480,1550
