StudentID,State,PLE,Gender,Grade,Indicator,Attempt,Date,Reading,Math,Writing,Total,X9.0.Reading,X9.0.Writing,X9.0.Math,X9.0.Other.s.,X9.0.Other,X9.0.Sports,X9.0.Arts,X9.1.Reading,X9.1.Writing,X9.1.Math,X9.1.Other.s.,X9.1.Other,X9.1.Sports,X9.1.Arts,X10.0.Reading,X10.0.Writing,X10.0.Math,X10.0.Other.s.,X10.0.Other,X10.0.Sports,X10.0.Arts,X10.1.Reading,X10.1.Writing,X10.1.Math,X10.1.Other.s.,X10.1.Other,X10.1.Sports,X10.1.Arts,X11.0.Reading,X11.0.Writing,X11.0.Math,X11.0.Other.s.,X11.0.Other,X11.0.Sports,X11.0.Arts,X11.1.Reading,X11.1.Writing,X11.1.Math,X11.1.Other.s.,X11.1.Other,X11.1.Sports,X11.1.Arts,X12.0.Reading,X12.0.Writing,X12.0.Math,X12.0.Other.s.,X12.0.Other,X12.0.Sports,X12.0.Arts,X12.1.Reading,X12.1.Writing,X12.1.Math,X12.1.Other.s.,X12.1.Other,X12.1.Sports,X12.1.Arts
12030033,CT,8,M,12,X12.0,2,3/1/2011,400,380,370,1150,68.3,NA,76,59,1,1,0,NA,NA,NA,NA,0,0,0,88.5,NA,66,82,1,0,0,NA,NA,NA,NA,0,0,0,76,77,92,80.6,0,0,0,NA,NA,NA,NA,0,0,0,73,85,61,70.8,1,1,1,NA,NA,NA,NA,0,0,0
12030033,CT,8,M,12,X12.0,3,6/1/2011,340,410,390,1140,68.3,NA,76,59,1,1,0,NA,NA,NA,NA,0,0,0,88.5,NA,66,82,1,0,0,NA,NA,NA,NA,0,0,0,76,77,92,80.6,0,0,0,NA,NA,NA,NA,0,0,0,73,85,61,70.8,1,1,1,NA,NA,NA,NA,0,0,0
12030036,CT,4,M,12,X12.0,1,10/1/2010,510,510,510,1530,87,NA,82,50,1,1,0,NA,NA,NA,NA,0,0,0,85.5,NA,79,89.5,1,1,0,NA,NA,NA,NA,0,0,0,79,78,94,83.6,0,0,0,NA,NA,NA,NA,0,0,0,97,94,61,77.5,1,0,1,NA,NA,NA,NA,0,0,0
12030036,CT,4,M,12,X12.0,2,3/1/2011,530,540,420,1490,87,NA,82,50,1,1,0,NA,NA,NA,NA,0,0,0,85.5,NA,79,89.5,1,1,0,NA,NA,NA,NA,0,0,0,79,78,94,83.6,0,0,0,NA,NA,NA,NA,0,0,0,97,94,61,77.5,1,0,1,NA,NA,NA,NA,0,0,0
12030036,CT,4,M,12,X12.0,3,6/1/2011,490,490,430,1410,87,NA,82,50,1,1,0,NA,NA,NA,NA,0,0,0,85.5,NA,79,89.5,1,1,0,NA,NA,NA,NA,0,0,0,79,78,94,83.6,0,0,0,NA,NA,NA,NA,0,0,0,97,94,61,77.5,1,0,1,NA,NA,NA,NA,0,0,0
12030049,CT,7,F,12,X12.0,1,10/1/2010,380,470,380,1230,81,NA,78,85,1,1,1,NA,NA,NA,NA,0,0,0,88,NA,83.5,83,1,1,1,NA,NA,NA,NA,0,0,0,71,79,77,89.2,0,1,1,NA,NA,NA,NA,0,0,0,NA,NA,91,86,1,0,1,NA,NA,NA,NA,0,0,0
12030049,CT,7,F,12,X12.0,2,3/1/2011,480,510,430,1420,81,NA,78,85,1,1,1,NA,NA,NA,NA,0,0,0,88,NA,83.5,83,1,1,1,NA,NA,NA,NA,0,0,0,71,79,77,89.2,0,1,1,NA,NA,NA,NA,0,0,0,NA,NA,91,86,1,0,1,NA,NA,NA,NA,0,0,0
12030049,CT,7,F,12,X12.0,3,6/1/2011,440,490,420,1350,81,NA,78,85,1,1,1,NA,NA,NA,NA,0,0,0,88,NA,83.5,83,1,1,1,NA,NA,NA,NA,0,0,0,71,79,77,89.2,0,1,1,NA,NA,NA,NA,0,0,0,NA,NA,91,86,1,0,1,NA,NA,NA,NA,0,0,0
12030052,CT,5,F,12,X12.0,1,10/1/2010,370,350,380,1100,64.7,NA,66,50,1,1,0,NA,NA,NA,NA,0,0,0,78.5,NA,65.5,83,1,1,0,NA,NA,NA,NA,0,0,0,70,81,65,75.8,0,0,0,NA,NA,NA,NA,0,0,0,85,86,60,76,1,1,1,NA,NA,NA,NA,0,0,0
12030052,CT,5,F,12,X12.0,2,3/1/2011,330,370,360,1060,64.7,NA,66,50,1,1,0,NA,NA,NA,NA,0,0,0,78.5,NA,65.5,83,1,1,0,NA,NA,NA,NA,0,0,0,70,81,65,75.8,0,0,0,NA,NA,NA,NA,0,0,0,85,86,60,76,1,1,1,NA,NA,NA,NA,0,0,0
12030052,CT,5,F,12,X12.0,3,6/1/2011,420,380,390,1190,64.7,NA,66,50,1,1,0,NA,NA,NA,NA,0,0,0,78.5,NA,65.5,83,1,1,0,NA,NA,NA,NA,0,0,0,70,81,65,75.8,0,0,0,NA,NA,NA,NA,0,0,0,85,86,60,76,1,1,1,NA,NA,NA,NA,0,0,0
12030053,CT,5,F,12,X12.0,1,10/1/2010,320,350,320,990,82,NA,61,50,1,1,0,NA,NA,NA,NA,0,0,0,86,NA,76.5,85.5,1,1,0,NA,NA,NA,NA,0,0,0,78,50,65,72.2,0,0,0,NA,NA,NA,NA,0,0,0,88,94,53,68.6,1,1,1,NA,NA,NA,NA,0,0,0
12030053,CT,5,F,12,X12.0,2,3/1/2011,360,340,390,1090,82,NA,61,50,1,1,0,NA,NA,NA,NA,0,0,0,86,NA,76.5,85.5,1,1,0,NA,NA,NA,NA,0,0,0,78,50,65,72.2,0,0,0,NA,NA,NA,NA,0,0,0,88,94,53,68.6,1,1,1,NA,NA,NA,NA,0,0,0
12030053,CT,5,F,12,X12.0,3,6/1/2011,350,370,370,1090,82,NA,61,50,1,1,0,NA,NA,NA,NA,0,0,0,86,NA,76.5,85.5,1,1,0,NA,NA,NA,NA,0,0,0,78,50,65,72.2,0,0,0,NA,NA,NA,NA,0,0,0,88,94,53,68.6,1,1,1,NA,NA,NA,NA,0,0,0
